TIME,PLAYERS
1618347607462,271
1618347908021,264
1618348214152,258
1618348507877,246
1618348808427,244
1618349108631,250
1618349411934,248
1618349709054,255
1618350007138,250
1618350307232,240
1618350609176,253
1618350907332,261
1618351206699,287
1618351507686,328
1618351807892,320
1618352112810,328
1618352407247,302
1618352706384,289
1618353008227,281
1618353308248,275
1618353607128,287
1618353912914,276
1618354208106,284
1618354506867,280
1618354808576,273
1618355107310,279
1618355406831,277
1618355706603,278
1618356006409,271
1618356306128,265
1618356605959,257
1618356905552,246
1618357205994,255
1618357505695,247
1618357811071,244
1618358105706,247
1618358406550,252
1618358711020,253
1618359011795,250
1618359306222,256
1618359605859,248
1618359906440,249
1618360205944,242
1618360506499,253
1618360805854,245
1618361106462,247
1618361406177,245
1618361705805,241
1618362011422,249
1618362307601,246
1618362611056,233
1618362906803,227
1618363206147,231
1618363506015,237
1618363805492,231
1618364106214,238
1618364405995,243
1618364705450,245
1618365005957,239
1618365305660,238
1618365606453,230
1618365905922,224
1618366206158,229
1618366505827,221
1618366816639,219
1618367106289,226
1618367405573,224
1618367706284,229
1618368005977,227
1618368305402,220
1618368605968,233
1618368905767,234
1618369506466,228
1618369806185,232
1618370105857,212
1618370407434,203
1618370705792,206
1618371012223,222
1618371306475,211
1618371606067,204
1618371906367,209
1618372206161,197
1618372505744,193
1618372806288,197
1618373106089,182
1618373405770,182
1618373711138,191
1618374007412,185
1618374306262,178
1618374605849,172
1618374906409,161
1618375206588,158
1618375511217,154
1618375805772,154
1618376107396,149
1618376406187,161
1618376705603,161
1618377005990,156
1618377305816,161
1618377608138,163
1618377905803,146
1618378211797,146
1618378506508,145
1618378812055,139
1618379107768,136
1618379406530,135
1618379706218,126
1618380006344,145
1618380305893,139
1618380606558,134
1618380906947,129
1618381205773,131
1618381506495,133
1618381813169,138
1618382105956,139
1618382405890,139
1618382714514,138
1618383016483,135
1618383306420,136
1618383608673,131
1618383916806,128
1618384206589,128
1618384507028,129
1618384806141,134
1618385105924,136
1618385407426,129
1618385706873,127
1618386012339,131
1618386312266,125
1618386605796,131
1618386911866,123
1618387213630,137
1618387512475,130
1618387806106,135
1618388106986,136
1618388406022,131
1618388706006,131
1618389011864,134
1618389312126,137
1618389606122,143
1618389906997,141
1618390206025,138
1618390505689,130
1618390811898,131
1618391106873,133
1618391412002,132
1618391707333,130
1618392006547,126
1618392312046,126
1618392606710,124
1618392906999,120
1618393206254,118
1618393507420,122
1618393812608,125
1618394112077,127
1618394407516,133
1618394711641,128
1618395006705,135
1618395312203,137
1618395606587,135
1618395916537,135
1618396207847,135
1618396511956,133
1618396811952,131
1618397107173,140
1618397411910,136
1618397706955,149
1618398012240,141
1618398306140,143
1618398612063,143
1618398907923,149
1618399211005,157
1618399507252,145
1618399807424,148
1618400107711,146
1618400407310,142
1618400707302,141
1618401016761,144
1618401306402,144
1618401608154,155
1618401906918,147
1618402207137,155
1618402507263,159
1618402811464,166
1618403106355,174
1618403412091,164
1618403706066,165
1618404007620,166
1618404308294,171
1618404616835,171
1618404907051,159
1618405206964,159
1618405510975,169
1618405806048,171
1618406107280,175
1618406406699,182
1618406711838,193
1618407018335,191
1618407313566,189
1618407612460,184
1618407907279,174
1618408207917,174
1618408509012,177
1618408808006,189
1618409119046,179
1618409407417,184
1618409708748,179
1618410016761,183
1618410308075,179
1618410612557,184
1618410906659,181
1618411209656,192
1618411512647,184
1618411807072,181
1618412112077,182
1618412408043,181
1618412711965,174
1618413011118,177
1618413307658,178
1618413612778,194
1618413908076,196
1618414211917,196
1618414506757,205
1618414807616,206
1618415112489,211
1618415406681,222
1618415707700,214
1618416012957,205
1618416306494,202
1618416608671,204
1618416912330,205
1618417212750,218
1618417507564,219
1618417812096,213
1618418112103,215
1618418406784,220
1618418707762,212
1618419007973,224
1618419306538,228
1618419609196,227
1618419910993,223
1618420206761,222
1618420507409,235
1618420806786,232
1618421112281,237
1618421408829,246
1618421706153,245
1618422006347,257
1618422313580,264
1618422612104,250
1618422906019,260
1618423211988,264
1618423510985,261
1618423806575,267
1618424112017,268
1618424407276,272
1618424717318,270
1618425012011,258
1618425311884,253
1618425606810,255
1618425907589,249
1618426207201,247
1618426511931,256
1618426808007,255
1618427115756,249
1618427408678,250
1618427708240,238
1618428011513,246
1618428317017,234
1618428607690,236
1618428921860,252
1618429207339,268
1618429513075,268
1618429807145,270
1618430108406,275
1618430422101,269
1618430706888,275
1618431007205,272
1618431317798,260
1618431611961,273
1618431905822,298
1618432208177,322
1618432507019,341
1618432812279,337
1618433107383,329
1618433406524,338
1618433706271,332
1618434016346,314
1618434306470,332
1618434606097,324
1618434906090,323
1618435212038,341
1618435505724,337
1618435807428,315
1618436105583,297
1618436406336,287
1618436706680,288
1618437011655,280
1618437306247,271
1618437607814,273
1618437906912,268
1618438207226,269
1618438507151,261
1618438805858,262
1618439106935,267
1618439412165,251
1618439705645,253
1618440006117,252
1618440306513,253
1618440611996,262
1618440905648,258
1618441207202,256
1618441505827,249
1618441806519,245
1618442116676,231
1618442411690,231
1618442706204,234
1618443007123,235
1618443305600,250
1618443611237,237
1618443905863,236
1618444206592,226
1618444506210,215
1618444805855,225
1618445106753,226
1618445406349,226
1618445711233,212
1618446005770,215
1618446306077,212
1618446605877,215
